site,year,block,plot,pd,pd_fac,plant_win,row_spacing_in,row_spacing_cm,effective_quad_size_m2,effective_quad_to_m2_multiplier,rye_kg_adj_to_row_spacing,weed_kg,live_seeds_lb,seedlings_expected_ft,seedlings_exp_per_quad,row_m,seedling_percent_error,rate_lbs,seedling_n,seedling_m2,canopy_cover,rye_g,weed_g,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,rate.adj.equal.years,RRI_weeds,RCI_weeds_grace
CT,2023,1,10,10/13/2022,2,0,7.5,19.05,0.28575,3.49956256,0,568,15073.9,0,0,21.245,na,0,0,0,0.23,0,14.2,768.56,1337.18,19.6,6.2,85,3.94,0,0,0
CT,2023,1,15,10/31/2022,3,0,7.5,19.05,0.28575,3.49956256,0,492,15073.9,0,0,21.245,na,0,0,0,0.3,0,12.3,552.86,1121.48,29.05,6.02,85,3.76,0,0,0
CT,2023,2,20,10/13/2022,2,14,7.5,19.05,0.28575,3.49956256,0,156,15073.9,0,0,21.245,na,0,0,0,0.3,0,3.9,768.56,1337.18,19.6,6.2,85,3.94,0,0,0
CT,2023,2,30,9/29/2022,1,14,7.5,19.05,0.28575,3.49956256,0,1048,15073.9,0,0,21.245,na,0,0,0,1.12,0,26.2,925.08,1493.7,15.8,6.23,87,3.86,0,0,0
CT,2023,2,31,10/31/2022,3,14,7.5,19.05,0.28575,3.49956256,0,404,15073.9,0,0,21.245,na,0,0,0,0.29,0,10.1,552.86,1121.48,29.05,6.02,85,3.76,0,0,0
CT,2023,3,38,10/31/2022,3,32,7.5,19.05,0.28575,3.49956256,0,556,15073.9,0,0,21.245,na,0,0,0,0.28,0,13.9,552.86,1121.48,29.05,6.02,85,3.76,0,0,0
CT,2023,3,48,10/13/2022,2,32,7.5,19.05,0.28575,3.49956256,0,400,15073.9,0,0,21.245,na,0,0,0,0.36,0,10,768.56,1337.18,19.6,6.2,85,3.94,0,0,0
CT,2023,3,53,9/29/2022,1,32,7.5,19.05,0.28575,3.49956256,0,428,15073.9,0,0,21.245,na,0,0,0,0.39,0,10.7,925.08,1493.7,15.8,6.23,87,3.86,0,0,0
DE,2022,1,106,10/13/2022,1,0,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3,0,na,1369.68352,2006.69011,na,na,na,na,0,na,na
DE,2022,1,108,11/17/2022,3,0,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,5.28,0,na,813.646155,1450.65275,na,na,na,na,0,na,na
DE,2022,1,116,11/2/2022,2,0,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,4.05,0,na,948.433519,1585.44011,na,na,na,na,0,na,na
DE,2022,2,203,11/2/2022,2,0,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,4.15,0,na,948.433519,1585.44011,na,na,na,na,0,na,na
DE,2022,2,210,11/17/2022,3,20,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3.89,0,na,813.646155,1450.65275,na,na,na,na,0,na,na
DE,2022,2,215,10/13/2022,1,20,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3.86,0,na,1369.68352,2006.69011,na,na,na,na,0,na,na
DE,2022,3,304,11/2/2022,2,20,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3.57,0,na,948.433519,1585.44011,na,na,na,na,0,na,na
DE,2022,3,308,11/17/2022,3,20,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,5.11,0,na,813.646155,1450.65275,na,na,na,na,0,na,na
DE,2022,3,317,10/13/2022,1,35,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3.21,0,na,1369.68352,2006.69011,na,na,na,na,0,na,na
DE,2022,4,403,11/2/2022,2,35,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,3.44,0,na,948.433519,1585.44011,na,na,na,na,0,na,na
DE,2022,4,412,11/17/2022,3,35,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,2.68,0,na,813.646155,1450.65275,na,na,na,na,0,na,na
DE,2022,4,418,10/13/2022,1,35,7,17.78,0.2667,3.74953131,0,na,13014.47,0,0,22.76856,na,0,0,0,7.39,0,na,1369.68352,2006.69011,na,na,na,na,0,na,na
DE,2023,1,105,10/12/2022,1,0,7,17.78,0.2667,3.74953131,0,1056,15073.9,0,0,22.76856,na,0,0,0,11.43,0,26.4,1455.98,2125.5,1.5,6.57,207,1.32,0,0,0
DE,2023,1,108,10/31/2022,2,0,7,17.78,0.2667,3.74953131,0,752,15073.9,0,0,22.76856,na,0,0,0,3.03,0,18.8,1159.67,1829.2,1.55,6.7,221,1.24,0,0,0
DE,2023,1,120,11/17/2022,3,0,7,17.78,0.2667,3.74953131,0,1376,15073.9,0,0,22.76856,na,0,0,0,10.46,0,34.4,863.5,1533.03,1.7,6.68,202,1.3,0,0,0
DE,2023,2,207,10/31/2022,2,0,7,17.78,0.2667,3.74953131,0,1192,15073.9,0,0,22.76856,na,0,0,0,6.48,0,29.8,1159.67,1829.2,1.55,6.7,221,1.24,0,0,0
DE,2023,2,210,10/12/2022,1,19,7,17.78,0.2667,3.74953131,0,1168,15073.9,0,0,22.76856,na,0,0,0,33.22,0,29.2,1455.98,2125.5,1.5,6.57,207,1.32,0,0,0
DE,2023,2,218,11/17/2022,3,19,7,17.78,0.2667,3.74953131,0,968,15073.9,0,0,22.76856,na,0,0,0,17.35,0,24.2,863.5,1533.03,1.7,6.68,202,1.3,0,0,0
DE,2023,3,301,11/17/2022,3,19,7,17.78,0.2667,3.74953131,0,304,15073.9,0,0,22.76856,na,0,0,0,2.72,0,7.6,863.5,1533.03,1.7,6.68,202,1.3,0,0,0
DE,2023,3,311,10/12/2022,1,19,7,17.78,0.2667,3.74953131,0,1360,15073.9,0,0,22.76856,na,0,0,0,10.25,0,34,1285.61,1948.46,1.5,6.57,207,1.32,0,0,0
DE,2023,3,318,10/31/2022,2,36,7,17.78,0.2667,3.74953131,0,864,15073.9,0,0,22.76856,na,0,0,0,25.16,0,21.6,1159.67,1829.2,1.55,6.7,221,1.24,0,0,0
DE,2023,4,406,10/12/2022,1,36,7,17.78,0.2667,3.74953131,0,992,15073.9,0,0,22.76856,na,0,0,0,12,0,24.8,1455.98,2125.5,1.5,6.57,207,1.32,0,0,0
DE,2023,4,412,11/17/2022,3,36,7,17.78,0.2667,3.74953131,0,1216,15073.9,0,0,22.76856,na,0,0,0,13.45,0,30.4,863.5,1533.03,1.7,6.68,202,1.3,0,0,0
DE,2023,4,420,10/31/2022,2,36,7,17.78,0.2667,3.74953131,0,1320,15073.9,0,0,22.76856,na,0,0,0,15.01,0,33,1159.67,1829.2,1.55,6.7,221,1.24,0,0,0
MA,2022,1,102,9/21/2022,1,0,7.5,19.05,0.28575,3.49956256,0,1152,13014.47,0,0,21.245,na,0,0,0,na,0,28.8,na,1914.79,13.058,6.62,499,2.69,0,0,0
MA,2022,1,112,11/1/2022,3,0,7.5,19.05,0.28575,3.49956256,0,592,13014.47,0,0,21.245,na,0,0,0,na,0,14.8,na,1149.91,6.256,6.77,489,2.18,0,0,0
MA,2022,1,124,10/6/2022,2,0,7.5,19.05,0.28575,3.49956256,0,1390,13014.47,0,0,21.245,na,0,0,0,na,0,34.75,na,1595.04,7.9085,6.8,478,1.68,0,0,0
MA,2022,2,206,10/6/2022,2,15,7.5,19.05,0.28575,3.49956256,0,470,13014.47,0,0,21.245,na,0,0,0,na,0,11.75,na,1595.04,7.9085,6.8,478,1.68,0,0,0
MA,2022,2,216,9/21/2022,1,15,7.5,19.05,0.28575,3.49956256,0,1692,13014.47,0,0,21.245,na,0,0,0,na,0,42.3,na,1914.79,13.058,6.62,499,2.69,0,0,0
MA,2022,2,224,11/1/2022,3,15,7.5,19.05,0.28575,3.49956256,0,856,13014.47,0,0,21.245,na,0,0,0,na,0,21.4,na,1149.91,6.256,6.77,489,2.18,0,0,0
MA,2022,3,302,11/1/2022,3,41,7.5,19.05,0.28575,3.49956256,0,548,13014.47,0,0,21.245,na,0,0,0,na,0,13.7,na,1149.91,6.256,6.77,489,2.18,0,0,0
MA,2022,3,315,10/6/2022,2,41,7.5,19.05,0.28575,3.49956256,0,1076,13014.47,0,0,21.245,na,0,0,0,na,0,26.9,na,1595.04,7.9085,6.8,478,1.68,0,0,0
MA,2022,3,321,9/21/2022,1,41,7.5,19.05,0.28575,3.49956256,0,1386,13014.47,0,0,21.245,na,0,0,0,na,0,34.65,na,1914.79,13.058,6.62,499,2.69,0,0,0
MA,2023,1,106,9/21/2022,1,0,7.5,19.05,0.28575,3.49956256,0,1060,15073.9,0,0,21.245,na,0,0,0,5.16,0,26.5,1150.7,1935.59,3.55,6.83,526,2.39,0,0,0
MA,2023,1,112,10/28/2022,3,0,7.5,19.05,0.28575,3.49956256,0,404,15073.9,0,0,21.245,na,0,0,0,0.11,0,10.1,603.18,1388.07,2.75,6.86,561,2.25,0,0,0
MA,2023,1,125,10/6/2022,2,0,7.5,19.05,0.28575,3.49956256,0,472,15073.9,0,0,21.245,na,0,0,0,2.75,0,11.8,913.89,1698.78,3.05,7.01,547,2.24,0,0,0
MA,2023,2,205,10/6/2022,2,15,7.5,19.05,0.28575,3.49956256,0,756,15073.9,0,0,21.245,na,0,0,0,3.22,0,18.9,913.89,1698.78,3.05,7.01,547,2.24,0,0,0
MA,2023,2,213,9/21/2022,1,15,7.5,19.05,0.28575,3.49956256,0,732,15073.9,0,0,21.245,na,0,0,0,4.55,0,18.3,1150.7,1935.59,3.55,6.83,526,2.39,0,0,0
MA,2023,2,221,10/28/2022,3,15,7.5,19.05,0.28575,3.49956256,0,308,15073.9,0,0,21.245,na,0,0,0,4.81,0,7.7,603.18,1388.07,2.75,6.86,561,2.25,0,0,0
MA,2023,3,306,10/28/2022,3,37,7.5,19.05,0.28575,3.49956256,0,284,15073.9,0,0,21.245,na,0,0,0,0,0,7.1,603.18,1388.07,2.75,6.86,561,2.25,0,0,0
MA,2023,3,311,10/6/2022,2,37,7.5,19.05,0.28575,3.49956256,0,544,15073.9,0,0,21.245,na,0,0,0,5.34,0,13.6,913.89,1698.78,3.05,7.01,547,2.24,0,0,0
MA,2023,3,321,9/21/2022,1,37,7.5,19.05,0.28575,3.49956256,0,764,15073.9,0,0,21.245,na,0,0,0,9.04,0,19.1,1150.7,1935.59,3.55,6.83,526,2.39,0,0,0
NY,2022,3,1.8,9/30/2022,1,0,7.5,19.05,0.28575,3.49956256,0,3088,13014.47,0,0,21.245,na,0,0,0,13.79,0,77.2,1087.83,1607.62,48.324,5.16,39,3.87,0,0,0
NY,2022,1,3.3,10/21/2022,2,21,7.5,19.05,0.28575,3.49956256,0,672,13014.47,0,0,21.245,na,0,0,0,1.9,0,16.8,691.5179,1211.30438,28.6895,5.38,37,4.51,0,0,0
NY,2022,1,4.2,9/30/2022,1,21,7.5,19.05,0.28575,3.49956256,0,1512,13014.47,0,0,21.245,na,0,0,0,4.99,0,37.8,1087.83,1607.62,48.324,5.16,39,3.87,0,0,0
NY,2022,3,4.7,10/21/2022,2,21,7.5,19.05,0.28575,3.49956256,0,460,13014.47,0,0,21.245,na,0,0,0,1.57,0,11.5,691.5179,1211.30438,28.6895,5.38,37,4.51,0,0,0
NY,2022,2,6.4,11/4/2022,3,35,7.5,19.05,0.28575,3.49956256,0,512,13014.47,0,0,21.245,na,0,0,0,0.6,0,12.8,565.599758,1085.38624,31.193,5.26,48,4.62,0,0,0
NY,2022,2,6.5,10/21/2022,2,35,7.5,19.05,0.28575,3.49956256,0,236,13014.47,0,0,21.245,na,0,0,0,0.04,0,5.9,691.5179,1211.30438,28.6895,5.38,37,4.51,0,0,0
NY,2022,2,6.6,9/30/2022,1,35,7.5,19.05,0.28575,3.49956256,0,1436,13014.47,0,0,21.245,na,0,0,0,8.44,0,35.9,1087.83,1607.62,48.324,5.16,39,3.87,0,0,0
NY,2023,2,106,9/30/2022,1,0,7.5,19.05,0.28575,3.49956256,0,2308,15073.9,0,0,21.245,na,0,0,0,18.04,0,57.7,1029.62546,1314.57348,27,6.6,na,3.92,0,0,0
NY,2023,3,109,9/30/2022,1,0,7.5,19.05,0.28575,3.49956256,0,2792,15073.9,0,0,21.245,na,0,0,0,15.5,0,69.8,1029.62546,1314.57348,27,6.6,na,3.92,0,0,0
NY,2023,2,204,10/25/2022,3,0,7.5,19.05,0.28575,3.49956256,0,80,15073.9,0,0,21.245,na,0,0,0,0.23,0,2,777.219663,1062.16767,13.4,6.61,119,3.39,0,0,0
NY,2023,3,207,10/25/2022,3,0,7.5,19.05,0.28575,3.49956256,0,344,15073.9,0,0,21.245,na,0,0,0,0.33,0,8.6,777.219663,1062.16767,13.4,6.61,119,3.39,0,0,0
NY,2023,1,403,10/12/2022,2,12,7.5,19.05,0.28575,3.49956256,0,1764,15073.9,0,0,21.245,na,0,0,0,3.92,0,44.1,901.390813,1186.33882,19.15,6.5,121,3.35,0,0,0
NY,2023,3,508,10/12/2022,2,25,7.5,19.05,0.28575,3.49956256,0,1192,15073.9,0,0,21.245,na,0,0,0,1.57,0,29.8,901.390813,1186.33882,19.15,6.5,121,3.35,0,0,0
NY,2023,1,601,9/30/2022,1,25,7.5,19.05,0.28575,3.49956256,0,2968,15073.9,0,0,21.245,na,0,0,0,23.36,0,74.2,1029.62546,1314.57348,27,6.6,na,3.92,0,0,0
NY,2023,1,602,10/25/2022,3,25,7.5,19.05,0.28575,3.49956256,0,20,15073.9,0,0,21.245,na,0,0,0,0.15,0,0.5,777.219663,1062.16767,13.4,6.61,119,3.39,0,0,0
NY,2023,2,605,10/12/2022,2,25,7.5,19.05,0.28575,3.49956256,0,276,15073.9,0,0,21.245,na,0,0,0,0.76,0,6.9,901.390813,1186.33882,19.15,6.5,121,3.35,0,0,0
PA,2022,1,101,10/22/2022,2,0,7.5,19.05,0.28575,3.49956256,0,312,13014.47,0,0,21.245,na,0,0,0,1.56,0,7.8,744.21,1424.26,19.774,5.51,21,2.18,0,0,0
PA,2022,1,108,11/1/2022,3,0,7.5,19.05,0.28575,3.49956256,0,416,13014.47,0,0,21.245,na,0,0,0,0.74,0,10.4,497.57,1160.31,8.8115,5.44,25,2.29,0,0,0
PA,2022,1,116,10/7/2022,1,0,7.5,19.05,0.28575,3.49956256,0,560,13014.47,0,0,21.245,na,0,0,0,3,0,14,869.27,1566.61,12.8875,5.74,20,2.39,0,0,0
PA,2022,2,205,11/1/2022,3,15,7.5,19.05,0.28575,3.49956256,0,200,13014.47,0,0,21.245,na,0,0,0,0.64,0,5,497.57,1160.31,8.8115,5.44,25,2.29,0,0,0
PA,2022,2,212,10/7/2022,1,15,7.5,19.05,0.28575,3.49956256,0,424,13014.47,0,0,21.245,na,0,0,0,1.15,0,10.6,869.27,1566.61,12.8875,5.74,20,2.39,0,0,0
PA,2022,2,218,10/22/2022,2,15,7.5,19.05,0.28575,3.49956256,0,108,13014.47,0,0,21.245,na,0,0,0,0.18,0,2.7,744.21,1424.26,19.774,5.51,21,2.18,0,0,0
PA,2022,3,301,11/1/2022,3,32,7.5,19.05,0.28575,3.49956256,0,156,13014.47,0,0,21.245,na,0,0,0,0.11,0,3.9,497.57,1160.31,8.8115,5.44,25,2.29,0,0,0
PA,2022,3,308,10/7/2022,1,32,7.5,19.05,0.28575,3.49956256,0,840,13014.47,0,0,21.245,na,0,0,0,7.44,0,21,869.27,1566.61,12.8875,5.74,20,2.39,0,0,0
PA,2022,3,318,10/22/2022,2,32,7.5,19.05,0.28575,3.49956256,0,64,13014.47,0,0,21.245,na,0,0,0,0,0,1.6,744.21,1424.26,19.774,5.51,21,2.18,0,0,0
PA,2023,1,106,10/24/2022,2,0,7.5,19.05,0.28575,3.49956256,0,544,15073.9,0,0,21.245,na,0,0,0,0.23,0,13.6,679.811233,1304.55527,29.6,5.83,39,2.53,0,0,0
PA,2023,1,108,10/10/2022,1,0,7.5,19.05,0.28575,3.49956256,0,592,15073.9,0,0,21.245,na,0,0,0,0.1,0,14.8,805.16134,1429.90537,15.75,5.88,62,2.46,0,0,0
PA,2023,2,206,10/10/2022,1,14,7.5,19.05,0.28575,3.49956256,0,152,15073.9,0,0,21.245,na,0,0,0,0.3,0,3.8,805.16134,1429.90537,15.75,5.88,62,2.46,0,0,0
PA,2023,2,216,10/24/2022,2,14,7.5,19.05,0.28575,3.49956256,0,192,15073.9,0,0,21.245,na,0,0,0,0,0,4.8,679.811233,1304.55527,29.6,5.83,39,2.53,0,0,0
PA,2023,3,307,10/24/2022,2,30,7.5,19.05,0.28575,3.49956256,0,96,15073.9,0,0,21.245,na,0,0,0,0,0,2.4,679.811233,1304.55527,29.6,5.83,39,2.53,0,0,0
PA,2023,3,314,10/10/2022,1,30,7.5,19.05,0.28575,3.49956256,0,96,15073.9,0,0,21.245,na,0,0,0,0,0,2.4,805.16134,1429.90537,15.75,5.88,62,2.46,0,0,0
UMD,2023,1,101,10/24/2022,1,0,7.5,19.05,0.28575,3.49956256,0,1556,15073.9,0,0,21.245,na,0,0,0,11.71,0,38.9,1114.47,1858.45,9.5,6.61,46,2.17,0,0,0
UMD,2023,1,107,10/31/2022,2,0,7.5,19.05,0.28575,3.49956256,0,1184,15073.9,0,0,21.245,na,0,0,0,1.62,0,29.6,1004.59,1748.57,11.95,6.37,70,2.11,0,0,0
UMD,2023,1,113,11/14/2022,3,0,7.5,19.05,0.28575,3.49956256,0,796,15073.9,0,0,21.245,na,0,0,0,3.4,0,19.9,723.17,1467.14,9.25,6.3,44,1.98,0,0,0
UMD,2023,2,206,10/31/2022,2,7,7.5,19.05,0.28575,3.49956256,0,1536,15073.9,0,0,21.245,na,0,0,0,2.31,0,38.4,1004.59,1748.57,11.95,6.37,70,2.11,0,0,0
UMD,2023,2,209,11/14/2022,3,7,7.5,19.05,0.28575,3.49956256,0,212,15073.9,0,0,21.245,na,0,0,0,0.3,0,5.3,723.17,1467.14,9.25,6.3,44,1.98,0,0,0
UMD,2023,2,214,10/24/2022,1,7,7.5,19.05,0.28575,3.49956256,0,1904,15073.9,0,0,21.245,na,0,0,0,11.75,0,47.6,1114.47,1858.45,9.5,6.61,46,2.17,0,0,0
UMD,2023,3,306,11/14/2022,3,21,7.5,19.05,0.28575,3.49956256,0,1120,15073.9,0,0,21.245,na,0,0,0,1.8,0,28,723.17,1467.14,9.25,6.3,44,1.98,0,0,0
UMD,2023,3,312,10/31/2022,2,21,7.5,19.05,0.28575,3.49956256,0,272,15073.9,0,0,21.245,na,0,0,0,0.24,0,6.8,1004.59,1748.57,11.95,6.37,70,2.11,0,0,0
UMD,2023,3,317,10/24/2022,1,21,7.5,19.05,0.28575,3.49956256,0,2132,15073.9,0,0,21.245,na,0,0,0,7.19,0,53.3,1114.47,1858.45,9.5,6.61,46,2.17,0,0,0
VT,2022,1,104,9/20/2022,1,0,6,15.24,0.2286,4.37445319,0,2195.2,13014.47,0,0,26.548,na,0,0,0,8.44,0,54.88,893.38,1451.35,17.9205,6.94,48,3.65,0,0,0
VT,2022,1,109,9/29/2022,1.5,0,6,15.24,0.2286,4.37445319,0,1735.2,13014.47,0,0,26.548,na,0,0,0,1.36,0,43.38,675.28,1233.25,27.132,7.12,31,3.84,0,0,0
VT,2022,1,114,10/7/2022,2,0,6,15.24,0.2286,4.37445319,0,233.6,13014.47,0,0,26.548,na,0,0,0,0.01,0,5.84,563.57,1121.53,27.3615,7.06,50,3.85,0,0,0
VT,2022,1,121,10/13/2022,2.5,0,6,15.24,0.2286,4.37445319,0,386.4,13014.47,0,0,26.548,na,0,0,0,0,0,9.66,427.27,985.23,12.8805,6.6,81,3.43,0,0,0
VT,2022,1,129,10/20/2022,3,9,6,15.24,0.2286,4.37445319,0,149.6,13014.47,0,0,26.548,na,0,0,0,0.01,0,3.74,297.97,855.93,11.8755,6.05,51,3.27,0,0,0
VT,2022,2,201,9/20/2022,1,9,6,15.24,0.2286,4.37445319,0,925.2,13014.47,0,0,26.548,na,0,0,0,2.57,0,23.13,893.38,1451.35,17.9205,6.94,48,3.65,0,0,0
VT,2022,2,208,9/29/2022,1.5,9,6,15.24,0.2286,4.37445319,0,492.8,13014.47,0,0,26.548,na,0,0,0,0.92,0,12.32,675.28,1233.25,27.132,7.12,31,3.84,0,0,0
VT,2022,2,213,10/7/2022,2,9,6,15.24,0.2286,4.37445319,0,478.4,13014.47,0,0,26.548,na,0,0,0,0.06,0,11.96,563.57,1121.53,27.3615,7.06,50,3.85,0,0,0
VT,2022,2,223,10/13/2022,2.5,17,6,15.24,0.2286,4.37445319,0,735.6,13014.47,0,0,26.548,na,0,0,0,0.35,0,18.39,427.27,985.23,12.8805,6.6,81,3.43,0,0,0
VT,2022,3,304,9/20/2022,1,17,6,15.24,0.2286,4.37445319,0,2420.8,13014.47,0,0,26.548,na,0,0,0,3.41,0,60.52,893.38,1451.35,17.9205,6.94,48,3.65,0,0,0
VT,2022,3,307,9/29/2022,1.5,17,6,15.24,0.2286,4.37445319,0,361.2,13014.47,0,0,26.548,na,0,0,0,0.16,0,9.03,675.28,1233.25,27.132,7.12,31,3.84,0,0,0
VT,2022,3,316,10/7/2022,2,23,6,15.24,0.2286,4.37445319,0,85.2,13014.47,0,0,26.548,na,0,0,0,0.01,0,2.13,563.57,1121.53,27.3615,7.06,50,3.85,0,0,0
VT,2022,3,322,10/13/2022,2.5,23,6,15.24,0.2286,4.37445319,0,278,13014.47,0,0,26.548,na,0,0,0,0.09,0,6.95,427.27,985.23,12.8805,6.6,81,3.43,0,0,0
VT,2022,3,325,10/20/2022,3,23,6,15.24,0.2286,4.37445319,0,645.2,13014.47,0,0,26.548,na,0,0,0,0.03,0,16.13,297.97,855.93,11.8755,6.05,51,3.27,0,0,0
VT,2022,4,405,9/20/2022,1,23,6,15.24,0.2286,4.37445319,0,1414.8,13014.47,0,0,26.548,na,0,0,0,2.13,0,35.37,893.38,1451.35,17.9205,6.94,48,3.65,0,0,0
VT,2022,4,411,9/29/2022,1.5,30,6,15.24,0.2286,4.37445319,0,1197.2,13014.47,0,0,26.548,na,0,0,0,1.19,0,29.93,675.28,1233.25,27.132,7.12,31,3.84,0,0,0
VT,2022,4,418,10/7/2022,2,30,6,15.24,0.2286,4.37445319,0,41.2,13014.47,0,0,26.548,na,0,0,0,0.01,0,1.03,563.57,1121.53,27.3615,7.06,50,3.85,0,0,0
VT,2022,4,419,10/13/2022,2.5,30,6,15.24,0.2286,4.37445319,0,100,13014.47,0,0,26.548,na,0,0,0,41.09,0,2.5,427.27,985.23,12.8805,6.6,81,3.43,0,0,0
VT,2022,4,428,10/20/2022,3,30,6,15.24,0.2286,4.37445319,0,75.6,13014.47,0,0,26.548,na,0,0,0,0.02,0,1.89,297.97,855.93,11.8755,6.05,51,3.27,0,0,0
VT,2023,1,103,9/12/2022,1,0,6,15.24,0.2286,4.37445319,0,1048,15073.9,0,0,26.548,na,0,0,0,0.46,0,26.2,978.71,1745.48,38.4,6.71,54,4.04,0,0,0
VT,2023,1,107,9/19/2022,1.5,0,6,15.24,0.2286,4.37445319,0,1648,15073.9,0,0,26.548,na,0,0,0,1.27,0,41.2,825.81,1592.58,5.85,6.71,38,3.34,0,0,-1
VT,2023,1,115,9/24/2022,2,0,6,15.24,0.2286,4.37445319,0,1060,15073.9,0,0,26.548,na,0,0,0,1.23,0,26.5,743.41,1510.18,14.9,6.96,43,3.74,0,0,0
VT,2023,1,121,10/3/2022,2.5,0,6,15.24,0.2286,4.37445319,0,1620,15073.9,0,0,26.548,na,0,0,0,0.16,0,40.5,617.116409,1383.89279,26.95,6.49,54,3.38,0,0,0
VT,2023,1,127,10/10/2022,3,7,6,15.24,0.2286,4.37445319,0,544,15073.9,0,0,26.548,na,0,0,0,0.17,0,13.6,542.92,1309.7,42.7,6.13,66,3.75,0,0,0
VT,2023,2,204,9/12/2022,1,7,6,15.24,0.2286,4.37445319,0,2472,15073.9,0,0,26.548,na,0,0,0,3.5,0,61.8,978.71,1745.48,38.4,6.71,54,4.04,0,0,0
VT,2023,2,209,9/19/2022,1.5,7,6,15.24,0.2286,4.37445319,0,1204,15073.9,0,0,26.548,na,0,0,0,0.41,0,30.1,825.81,1592.58,5.85,6.71,38,3.34,0,0,0
VT,2023,2,214,9/24/2022,2,7,6,15.24,0.2286,4.37445319,0,172,15073.9,0,0,26.548,na,0,0,0,0.65,0,4.3,743.41,1510.18,14.9,6.96,43,3.74,0,0,0
VT,2023,2,222,10/3/2022,2.5,12,6,15.24,0.2286,4.37445319,0,172,15073.9,0,0,26.548,na,0,0,0,0.33,0,4.3,617.116409,1383.89279,26.95,6.49,54,3.38,0,0,0
VT,2023,2,225,10/10/2022,3,12,6,15.24,0.2286,4.37445319,0,172,15073.9,0,0,26.548,na,0,0,0,0.35,0,4.3,542.92,1309.7,42.7,6.13,66,3.75,0,0,0
VT,2023,3,301,9/12/2022,1,12,6,15.24,0.2286,4.37445319,0,392,15073.9,0,0,26.548,na,0,0,0,0.28,0,9.8,978.71,1745.48,38.4,6.71,54,4.04,0,0,0
