site,year,block,plot,pd,pd_fac,rate,seedling_n,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sp1,sp2,sp3,rye_g,weed_g,RCI_weeds,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_om,rate.adj
BARC,2022,1,116,11/10/2021,3,120,61,LAMAM,VERPG,unknown,58.48,VICVI,VERPG,VIOAR,146.5,16.9,-0.747384155,594.16,1405.35,10.971,6.91,76,1.52,120
BARC,2022,1,117,11/10/2021,3,90,42,LAMAM,VERPG,na,60.49,VICVI,VERPG,VIOAR,142.6,34.4,-0.485799701,594.16,1405.35,10.971,6.91,76,1.52,90
BARC,2022,1,118,11/10/2021,3,60,29,LAMAM,VICVI,VIOAR,49.92,VICVI,ANTCO,VIOAR,111.4,58.3,-0.128550075,594.16,1405.35,10.971,6.91,76,1.52,60
BARC,2022,2,201,10/21/2021,2,60,51,unknown,STEME,na,88.67,STEME,CARHI,na,281.2,4.87,-0.919237148,880.43,1691.62,25.0335,6.53,56,2.38,60
BARC,2022,2,202,10/21/2021,2,15,17,LAMAM,unknown,VERPG,73.81,CAPBP,STEME,THLAR,280.7,6.17,-0.897678275,880.43,1691.62,25.0335,6.53,56,2.38,15
BARC,2022,2,203,10/21/2021,2,0,0,LAMAM,unknown,VERPG,42.38,CAPBP,THLAR,STEME,0,60.3,0,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,2,204,10/21/2021,2,120,107,LAMAM,VERPG,STEME,84.38,STEME,VERPG,CARHI,266.5,3.47,-0.942454395,880.43,1691.62,25.0335,6.53,56,2.38,120
BARC,2022,2,205,10/21/2021,2,90,90,STEME,LAMAM,unknown,85.45,STEME,THLAR,CARHI,268.5,1.47,-0.975621891,880.43,1691.62,25.0335,6.53,56,2.38,90
BARC,2022,2,206,10/21/2021,2,30,28,LAMAM,unknown,STEME,67.32,STEME,CARHI,THLAR,333.3,6.37,-0.894361526,880.43,1691.62,25.0335,6.53,56,2.38,30
BARC,2022,2,207,11/10/2021,3,0,0,LAMAM,unknown,na,13.77,LAMAM,CAPBP,STEME,0,25.2,0,594.16,1405.35,10.971,6.91,76,1.52,0
BARC,2022,2,208,11/10/2021,3,30,3,LAMAM,VERPG,STEME,26.48,VERPG,STEME,CAPBP,83.8,13.1,-0.48015873,594.16,1405.35,10.971,6.91,76,1.52,30
BARC,2022,2,209,11/10/2021,3,90,12,LAMAM,unknown,na,35.26,STEME,CAPBP,VERPG,156.4,2.7,-0.892857143,594.16,1405.35,10.971,6.91,76,1.52,90
BARC,2022,2,210,11/10/2021,3,120,48,LAMAM,unknown,VERPG,54.02,CAPBP,THLAR,VERPG,269.1,2.2,-0.912698413,594.16,1405.35,10.971,6.91,76,1.52,120
BARC,2022,2,211,11/10/2021,3,15,0,LAMAM,unknown,STEME,19.37,STEME,LAMAM,THLAR,130.8,6.3,-0.75,594.16,1405.35,10.971,6.91,76,1.52,15
BARC,2022,2,212,11/10/2021,3,60,14,LAMAM,VERPG,unknown,20.93,STEME,THLAR,VERPG,158.7,12,-0.523809524,594.16,1405.35,10.971,6.91,76,1.52,60
BARC,2022,2,213,10/4/2021,1,30,18,LAMAM,STEME,unknown,50.48,VICVI,STEME,CARHI,112.3,20.5,-0.726301736,1327.16,2138.35,13.901,6.58,63,2.38,30
BARC,2022,2,214,10/4/2021,1,90,72,STEME,VERPG,LAMAM,66.74,STEME,VERPG,CAPBP,244.3,1.47,-0.980373832,1327.16,2138.35,13.901,6.58,63,2.38,90
BARC,2022,2,215,10/4/2021,1,0,0,STEME,LAMAM,VERPG,51.98,CAPBP,THLAR,STEME,0,74.9,0,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,2,216,10/4/2021,1,60,38,STEME,LAMAM,na,68.01,STEME,CARHI,na,235.4,0.57,-0.992389853,1327.16,2138.35,13.901,6.58,63,2.38,60
BARC,2022,2,217,10/4/2021,1,15,9,LAMAM,STEME,unknown,36.72,CAPBP,STEME,ANTCO,47.4,14.3,-0.809078772,1327.16,2138.35,13.901,6.58,63,2.38,15
BARC,2022,3,218,10/4/2021,1,120,59,STEME,na,na,47.79,STEME,unknown,na,135.5,0.87,-0.988384513,1327.16,2138.35,13.901,6.58,63,2.38,120
BARC,2022,3,301,11/10/2021,3,30,22,LAMAM,LAMPU,VERPG,46.59,VICVI,VIOAR,STEME,43,44.9,-0.698455339,594.16,1405.35,10.971,6.91,76,1.52,30
BARC,2022,3,302,11/10/2021,3,15,0,LAMAM,LAMPU,THLAR,54.91,VICVI,CAPBP,STEME,67.5,35.3,-0.76292814,594.16,1405.35,10.971,6.91,76,1.52,15
BARC,2022,3,303,11/10/2021,3,120,28,LAMAM,VICVI,STEME,67.23,VICVI,na,na,73.9,73,-0.509738079,594.16,1405.35,10.971,6.91,76,1.52,120
BARC,2022,3,304,11/10/2021,3,90,29,LAMAM,VERPG,STEME,63.9,VICVI,CAPBP,na,97.7,83.3,-0.440564137,594.16,1405.35,10.971,6.91,76,1.52,90
BARC,2022,3,305,11/10/2021,3,0,0,VERPG,STEME,LAMPU,64.24,VICVI,THLAR,CAPBP,0,148.9,0,594.16,1405.35,10.971,6.91,76,1.52,0
BARC,2022,3,306,11/10/2021,3,60,22,LAMAM,VERPG,STEME,58.86,VICVI,CAPBP,VERPG,62.7,29.3,-0.80322364,594.16,1405.35,10.971,6.91,76,1.52,60
BARC,2022,3,307,10/4/2021,1,120,68,LAMAM,STEME,LAMPU,91.84,VICVI,na,na,288.8,6,-0.946949602,1327.16,2138.35,13.901,6.58,63,2.38,120
BARC,2022,3,308,10/4/2021,1,0,0,LAMAM,LAMPU,STEME,61.07,VICVI,CAPBP,THLAR,0,113.1,0,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,3,309,10/4/2021,1,60,41,LAMAM,STEME,VERPG,68.17,VICVI,STEME,VIOAR,194.7,11.1,-0.901856764,1327.16,2138.35,13.901,6.58,63,2.38,60
BARC,2022,3,310,10/4/2021,1,90,55,VERPG,LAMPU,STEME,70.64,VICVI,VERPG,STEME,190.9,2.27,-0.979929266,1327.16,2138.35,13.901,6.58,63,2.38,90
BARC,2022,3,311,10/4/2021,1,15,8,VERPG,LAMAM,STEME,79.12,VICVI,CAPBP,VERPG,144.4,30.6,-0.729442971,1327.16,2138.35,13.901,6.58,63,2.38,15
BARC,2022,3,312,10/4/2021,1,30,23,VERPG,STEME,VICVI,89.35,VICVI,VIOAR,STEME,250.2,42,-0.628647215,1327.16,2138.35,13.901,6.58,63,2.38,30
BARC,2022,3,313,10/21/2022,2,90,76,VERPG,LAMAM,unknown2,79.6,VICVI,STEME,POATR,158.5,29.1,-0.672297297,880.43,1691.62,25.0335,6.53,56,2.38,90
BARC,2022,3,314,10/21/2021,2,60,47,VERPG,LAMAM,STEME,90.88,VICVI,POATR,STEME,205.2,6.17,-0.930518018,880.43,1691.62,25.0335,6.53,56,2.38,60
BARC,2022,3,315,10/21/2021,2,30,20,VERPG,LAMAM,STEME,79.72,VICVI,CAPBP,POATR,246.9,16.27,-0.816779279,880.43,1691.62,25.0335,6.53,56,2.38,30
BARC,2022,3,316,10/21/2021,2,0,0,unknown2,VERPG,THLAR,49.38,CAPBP,THLAR,VICVI,0,88.8,0,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,3,317,10/21/2021,2,120,89,VERPG,unknown,THLAR,73.05,CAPBP,STEME,POATR,181,11.77,-0.867454955,880.43,1691.62,25.0335,6.53,56,2.38,120
BARC,2022,3,318,10/21/2021,2,15,8,VERPG,unknown2,unknown1,51.2,CAPBP,THLAR,VERPG,140,29,-0.673423423,880.43,1691.62,25.0335,6.53,56,2.38,15
CT,2023,1,1,9/29/2022,1,50,32,na,na,na,11.78,STEME,TRFPR,AMBEL,61.2,1.6,-0.5,925.08,1493.70,15.8,6.23,87,3.86,60
CT,2023,1,2,9/29/2022,1,105,59,na,na,na,14.44,STEME,VERAR,AMBEL,74.4,6.5,1.03125,925.08,1493.70,15.8,6.23,87,3.86,120
CT,2023,1,3,9/29/2022,1,0,0,na,na,na,0.2,STEME,PLAMA,TRFPR,0,3.2,0,925.08,1493.70,15.8,6.23,87,3.86,0
CT,2023,1,4,9/29/2022,1,15,11,na,na,na,1.32,STEME,POLPE,TRFPR,40.6,2.2,-0.3125,925.08,1493.70,15.8,6.23,87,3.86,15
CT,2023,1,5,9/29/2022,1,80,38,na,na,na,14.19,CYPES,STEME,VERAR,58,12.1,2.78125,925.08,1493.70,15.8,6.23,87,3.86,90
CT,2023,1,6,9/29/2022,1,25,25,CYPES,na,na,30.1,CYPES,STEME,TRFPR,137.7,20,5.25,925.08,1493.70,15.8,6.23,87,3.86,30
CT,2023,1,7,10/13/2022,2,25,22,STEME,na,na,7.54,STEME,TRFPR,PLAMA,46.6,11.4,-0.197183099,768.56,1337.18,19.6,6.2,85,3.94,30
CT,2023,1,8,10/13/2022,2,80,44,STEME,na,na,19.82,STEME,TRFPR,AMBEL,129.3,1.6,-0.887323944,768.56,1337.18,19.6,6.2,85,3.94,90
CT,2023,1,9,10/13/2022,2,105,58,na,na,na,23.79,VERAR,STEME,TRFPR,134.8,3.4,-0.76056338,768.56,1337.18,19.6,6.2,85,3.94,120
CT,2023,1,10,10/13/2022,2,0,0,na,na,na,0.23,TRFPR,VERAR,AMBEL,0,14.2,0,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,1,11,10/13/2022,2,15,28,na,na,na,4.31,TRFPR,STEME,POLPE,43.6,1.9,-0.866197183,768.56,1337.18,19.6,6.2,85,3.94,15
CT,2023,1,12,10/13/2022,2,50,28,na,na,na,15.5,STEME,TRFPR,na,123.2,0.6,-0.957746479,768.56,1337.18,19.6,6.2,85,3.94,60
CT,2023,1,13,10/31/2022,3,25,11,na,na,na,0.85,AMBEL,STEME,CYPES,4.2,3.8,-0.691056911,552.86,1121.48,29.05,6.02,85,3.76,30
CT,2023,1,14,10/31/2022,3,105,21,na,na,na,0.2,AMBEL,TRFPR,POLPE,17.3,4.4,-0.642276423,552.86,1121.48,29.05,6.02,85,3.76,120
CT,2023,1,15,10/31/2022,3,0,0,na,na,na,0.3,AMBEL,STEME,PLAMA,0,12.3,0,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,1,16,10/31/2022,3,80,46,na,na,na,8.01,AMBEL,TRFPR,STEME,108,3.7,-0.699186992,552.86,1121.48,29.05,6.02,85,3.76,90
CT,2023,1,17,10/31/2022,3,50,23,na,na,na,1.63,AMBEL,TRFPR,STEME,100.3,2.3,-0.81300813,552.86,1121.48,29.05,6.02,85,3.76,60
CT,2023,1,18,10/31/2022,3,15,14,na,na,na,4.95,AMBEL,STEME,VERAR,38.7,6.3,-0.487804878,552.86,1121.48,29.05,6.02,85,3.76,15
CT,2023,2,19,10/13/2022,2,105,79,na,na,na,15.29,TRFPR,AMBEL,STEME,69.6,2,-0.487179487,768.56,1337.18,19.6,6.2,85,3.94,120
CT,2023,2,20,10/13/2022,2,0,0,na,na,na,0.3,POLPE,STEME,AMBEL,0,3.9,0,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,2,21,10/13/2022,2,80,65,STEME,na,na,25.75,STEME,CYPES,TRFPR,156.3,7.2,0.846153846,768.56,1337.18,19.6,6.2,85,3.94,90
CT,2023,2,22,10/13/2022,2,15,13,na,na,na,3.31,STEME,POLPE,TRFPR,51.7,5.7,0.461538462,768.56,1337.18,19.6,6.2,85,3.94,15
CT,2023,2,23,10/13/2022,2,50,34,na,na,na,12.45,STEME,VERAR,POLPE,108.9,1.8,-0.538461538,768.56,1337.18,19.6,6.2,85,3.94,60
CT,2023,2,24,10/13/2022,2,25,17,STEME,na,na,11.22,STEME,TRFPR,VERAR,94.6,7.2,0.846153846,768.56,1337.18,19.6,6.2,85,3.94,30
CT,2023,2,25,9/29/2022,1,105,75,na,na,na,20.45,TRFPR,STEME,na,93.3,0.8,-0.969465649,925.08,1493.70,15.8,6.23,87,3.86,120
CT,2023,2,26,9/29/2022,1,25,49,STEME,na,na,38.35,STEME,TRFPR,na,176.2,10.5,-0.599236641,925.08,1493.70,15.8,6.23,87,3.86,30
CT,2023,2,27,9/29/2022,1,50,64,na,na,na,32.09,TRFPR,STEME,AMBEL,203,0.5,-0.980916031,925.08,1493.70,15.8,6.23,87,3.86,60
CT,2023,2,28,9/29/2022,1,80,75,STEME,na,na,44.57,TRFPR,STEME,VERAR,179.3,2.7,-0.896946565,925.08,1493.70,15.8,6.23,87,3.86,90
CT,2023,2,29,9/29/2022,1,15,13,STEME,na,na,17.37,TRFPR,STEME,VERAR,82.9,13.4,-0.488549618,925.08,1493.70,15.8,6.23,87,3.86,15
CT,2023,2,30,9/29/2022,1,0,0,STEME,na,na,1.12,STEME,TRFPR,POLPE,0,26.2,0,925.08,1493.70,15.8,6.23,87,3.86,0
CT,2023,2,31,10/31/2022,3,0,0,na,na,na,0.29,TRFPR,STEME,CHEAL,0,10.1,0,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,2,32,10/31/2022,3,80,70,na,na,na,16.57,TRFPR,na,na,119.5,0.4,-0.96039604,552.86,1121.48,29.05,6.02,85,3.76,90
CT,2023,2,33,10/31/2022,3,105,52,na,na,na,17.12,TRFPR,AMBEL,na,154,0.8,-0.920792079,552.86,1121.48,29.05,6.02,85,3.76,120
CT,2023,2,34,10/31/2022,3,50,50,na,na,na,8.38,AMBEL,TRFPR,na,89.5,0.2,-0.98019802,552.86,1121.48,29.05,6.02,85,3.76,60
CT,2023,2,35,10/31/2022,3,15,10,na,na,na,0.19,TRFPR,POLPE,LAMPU,2,13.2,0.306930693,552.86,1121.48,29.05,6.02,85,3.76,15
CT,2023,2,36,10/31/2022,3,25,14,na,na,na,0.24,STEME,AMBEL,POLPE,4.5,12.4,0.227722772,552.86,1121.48,29.05,6.02,85,3.76,30
CT,2023,3,37,10/31/2022,3,105,40,na,na,na,19.82,TRFPR,AMBEL,VERAR,126,1.1,-0.920863309,552.86,1121.48,29.05,6.02,85,3.76,120
CT,2023,3,38,10/31/2022,3,0,0,na,na,na,0.28,TRFPR,VERSE,POLPE,0,13.9,0,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,3,39,10/31/2022,3,15,13,na,na,na,0.27,TRFPR,VERSE,CHEAL,1.6,11.8,-0.151079137,552.86,1121.48,29.05,6.02,85,3.76,15
CT,2023,3,40,10/31/2022,3,50,12,na,na,na,2.23,POLPE,VERSE,TRFPR,37.6,9.6,-0.309352518,552.86,1121.48,29.05,6.02,85,3.76,60
CT,2023,3,41,10/31/2022,3,25,10,na,na,na,0.87,VERSE,CAPBP,CHEAL,6.9,7.8,-0.438848921,552.86,1121.48,29.05,6.02,85,3.76,30
CT,2023,3,42,10/31/2022,3,80,42,na,na,na,5.64,TRFPR,VERSE,POLPE,75.4,3.1,-0.776978417,552.86,1121.48,29.05,6.02,85,3.76,90
CT,2023,3,43,10/13/2022,2,50,57,na,na,na,30.03,TRFPR,VERSE,na,92.5,0.6,-0.94,768.56,1337.18,19.6,6.2,85,3.94,60
CT,2023,3,44,10/13/2022,2,15,11,na,na,na,3.07,TRFPR,VERSE,CAPBP,10.5,4,-0.6,768.56,1337.18,19.6,6.2,85,3.94,15
CT,2023,3,45,10/13/2022,2,25,24,na,na,na,6.86,TRFPR,STEME,na,97.3,4.8,-0.52,768.56,1337.18,19.6,6.2,85,3.94,30
CT,2023,3,46,10/13/2022,2,80,56,na,na,na,19.42,TRFPR,AMBEL,na,106.7,0.6,-0.94,768.56,1337.18,19.6,6.2,85,3.94,90
CT,2023,3,47,10/13/2022,2,105,91,na,na,na,17.52,TRFPR,VERSE,na,147.1,0.4,-0.96,768.56,1337.18,19.6,6.2,85,3.94,120
CT,2023,3,48,10/13/2022,2,0,0,na,na,na,0.36,VERSE,CHEAL,Prickly Lettuce,0,10,0,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,3,49,9/29/2022,1,105,99,na,na,na,24.57,TRFPR,STEME,na,119.3,1.2,-0.887850467,925.08,1493.70,15.8,6.23,87,3.86,120
CT,2023,3,50,9/29/2022,1,50,65,na,na,na,18.44,TRFPR,STEME,VERAR,81.3,1.8,-0.831775701,925.08,1493.70,15.8,6.23,87,3.86,60
CT,2023,3,51,9/29/2022,1,25,16,STEME,na,na,10.55,TRFPR,STEME,VERSE,51.5,5.8,-0.457943925,925.08,1493.70,15.8,6.23,87,3.86,30
CT,2023,3,52,9/29/2022,1,15,42,STEME,na,na,25.2,TRFPR,STEME,na,122.7,2.1,-0.803738318,925.08,1493.70,15.8,6.23,87,3.86,15
CT,2023,3,53,9/29/2022,1,0,0,na,na,na,0.39,TRFPR,VERSE,STEME,0,10.7,0,925.08,1493.70,15.8,6.23,87,3.86,0
CT,2023,3,54,9/29/2022,1,80,98,STEME,na,na,30.61,TRFPR,STEME,na,134.9,1.6,-0.85046729,925.08,1493.70,15.8,6.23,87,3.86,90
DE,2022,1,101,10/13/2022,1,60,37,ERPVE,LAMAM,STEME,24.04,na,na,na,98.4,na,na,1369.683519,2006.690112,na,na,na,na,60
DE,2022,1,102,10/13/2022,1,120,40,ERPVE,LAMAM,HLOUM,20.01,na,na,na,55.6,na,na,1369.683519,2006.690112,na,na,na,na,120
DE,2022,1,103,10/13/2022,1,90,53,ERPVE,LAMAM,HLOUM,24.33,na,na,na,79.4,na,na,1369.683519,2006.690112,na,na,na,na,90
DE,2022,1,104,10/13/2022,1,30,12,ERPVE,LAMAM,HLOUM,17.55,na,na,na,62.6,na,na,1369.683519,2006.690112,na,na,na,na,30
DE,2022,1,105,10/13/2022,1,10,12,ERPVE,LAMAM,CERVU,19.98,na,na,na,51.8,na,na,1369.683519,2006.690112,na,na,na,na,15
DE,2022,1,106,10/13/2022,1,0,0,ERPVE,LAMAM,STEME,3,na,na,na,0,na,na,1369.683519,2006.690112,na,na,na,na,0
DE,2022,1,108,11/17/2022,3,0,0,ERPVE,LAMAM,HLOUM,5.28,na,na,na,0,na,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,1,109,11/17/2022,3,30,23,ERPVE,LAMAM,POAAN,21.93,na,na,na,72,na,na,813.6461547,1450.652748,na,na,na,na,30
DE,2022,1,110,11/17/2022,3,60,40,ERPVE,LAMAM,OEOLA,19.38,na,na,na,50,na,na,813.6461547,1450.652748,na,na,na,na,60
DE,2022,1,111,11/17/2022,3,120,87,ERPVE,LAMAM,HLOUM,22.06,na,na,na,65.6,na,na,813.6461547,1450.652748,na,na,na,na,120
DE,2022,1,112,11/17/2022,3,10,5,ERPVE,LAMAM,VERPG,12.34,na,na,na,50.2,na,na,813.6461547,1450.652748,na,na,na,na,15
DE,2022,1,113,11/17/2022,3,90,70,ERPVE,LAMAM,STEME,26.48,na,na,na,76.4,na,na,813.6461547,1450.652748,na,na,na,na,90
DE,2022,1,114,11/17/2022,3,150,70,ERPVE,LAMAM,STEME,22.23,na,na,na,63.2,na,na,813.6461547,1450.652748,na,na,na,na,150
DE,2022,1,115,11/2/2022,2,90,45,ERPVE,LAMAM,POAAN,18.63,na,na,na,64.2,na,na,948.4335185,1585.440112,na,na,na,na,90
DE,2022,1,116,11/2/2022,2,0,0,ERPVE,LAMAM,OEOLA,4.05,na,na,na,0,na,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,1,117,11/2/2022,2,150,81,ERPVE,LAMAM,HLOUM,21.59,na,na,na,64,na,na,948.4335185,1585.440112,na,na,na,na,150
DE,2022,1,118,11/2/2022,2,60,40,ERPVE,LAMAM,HLOUM,28.63,na,na,na,104,na,na,948.4335185,1585.440112,na,na,na,na,60
DE,2022,1,119,11/2/2022,2,120,98,ERPVE,na,na,19.74,na,na,na,70.6,na,na,948.4335185,1585.440112,na,na,na,na,120
DE,2022,1,120,11/2/2022,2,30,30,ERPVE,LAMAM,VERPG,26.41,na,na,na,87,na,na,948.4335185,1585.440112,na,na,na,na,30
DE,2022,1,121,11/2/2022,2,10,4,ERPVE,LAMAM,na,16.86,na,na,na,61.2,na,na,948.4335185,1585.440112,na,na,na,na,15
DE,2022,2,201,11/2/2022,2,120,61,ERPVE,LAMAM,na,15.33,na,na,na,51.4,na,na,948.4335185,1585.440112,na,na,na,na,120
DE,2022,2,202,11/2/2022,2,10,10,ERPVE,LAMAM,HLOUM,16.34,na,na,na,67,na,na,948.4335185,1585.440112,na,na,na,na,15
DE,2022,2,203,11/2/2022,2,0,0,ERPVE,LAMAM,HLOUM,4.15,na,na,na,0,na,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,2,204,11/2/2022,2,30,22,ERPVE,LAMAM,HLOUM,16.59,na,na,na,44.4,na,na,948.4335185,1585.440112,na,na,na,na,30
DE,2022,2,205,11/2/2022,2,90,73,ERPVE,LAMAM,na,18.52,na,na,na,71.6,na,na,948.4335185,1585.440112,na,na,na,na,90
DE,2022,2,206,11/2/2022,2,60,31,ERPVE,LAMAM,POAAN,16.24,na,na,na,49,na,na,948.4335185,1585.440112,na,na,na,na,60
DE,2022,2,207,11/2/2022,2,150,81,ERPVE,LAMAM,na,27,na,na,na,97,na,na,948.4335185,1585.440112,na,na,na,na,150
DE,2022,2,208,11/17/2022,3,150,110,ERPVE,LAMAM,STEME,22.29,na,na,na,42.8,na,na,813.6461547,1450.652748,na,na,na,na,150
DE,2022,2,209,11/17/2022,3,120,75,ERPVE,LAMAM,CERVU,31.71,na,na,na,60.2,na,na,813.6461547,1450.652748,na,na,na,na,120
DE,2022,2,210,11/17/2022,3,0,0,ERPVE,LAMAM,HLOUM,3.89,na,na,na,0,na,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,2,211,11/17/2022,3,60,56,ERPVE,LAMAM,POAAN,16.63,na,na,na,28.4,na,na,813.6461547,1450.652748,na,na,na,na,60
DE,2022,2,212,11/17/2022,3,90,52,ERPVE,ERPVE,POAAN,21.13,na,na,na,39.8,na,na,813.6461547,1450.652748,na,na,na,na,90
DE,2022,2,213,11/17/2022,3,30,19,LAMAM,ERPVE,STEME,18.35,na,na,na,47.6,na,na,813.6461547,1450.652748,na,na,na,na,30
DE,2022,2,214,11/17/2022,3,10,9,LAMAM,LAMAM,TAROF,20.85,na,na,na,35.8,na,na,813.6461547,1450.652748,na,na,na,na,15
DE,2022,2,215,10/13/2022,1,0,0,ERPVE,LAMAM,POAAN,3.86,na,na,na,0,na,na,1369.683519,2006.690112,na,na,na,na,0
DE,2022,2,216,10/13/2022,1,30,15,ERPVE,LAMAM,OEOLA,21.87,na,na,na,78,na,na,1369.683519,2006.690112,na,na,na,na,30
DE,2022,2,217,10/13/2022,1,10,17,ERPVE,LAMAM,HLOUM,15.93,na,na,na,52,na,na,1369.683519,2006.690112,na,na,na,na,15
DE,2022,2,218,10/13/2022,1,90,42,ERPVE,LAMAM,STEME,18.68,na,na,na,84.4,na,na,1369.683519,2006.690112,na,na,na,na,90
DE,2022,2,219,10/13/2022,1,60,43,ERPVE,LAMAM,STEME,29.75,na,na,na,94,na,na,1369.683519,2006.690112,na,na,na,na,60
DE,2022,2,220,10/13/2022,1,120,38,ERPVE,LAMAM,STEME,25.79,na,na,na,91,na,na,1369.683519,2006.690112,na,na,na,na,120
DE,2022,3,301,11/2/2022,2,150,111,ERPVE,LAMAM,CERVU,19.55,na,na,na,48.8,na,na,948.4335185,1585.440112,na,na,na,na,150
DE,2022,3,302,11/2/2022,2,30,24,ERPVE,LAMAM,CERVU,24.49,na,na,na,68.6,na,na,948.4335185,1585.440112,na,na,na,na,30
DE,2022,3,303,11/2/2022,2,120,68,ERPVE,LAMAM,STEME,18.19,na,na,na,51.6,na,na,948.4335185,1585.440112,na,na,na,na,120
DE,2022,3,304,11/2/2022,2,0,0,ERPVE,LAMAM,na,3.57,na,na,na,0,na,na,948.4335185,1585.440112,na,na,na,na,0
DE,2022,3,305,11/2/2022,2,90,48,ERPVE,LAMAM,na,38.86,na,na,na,121.4,na,na,948.4335185,1585.440112,na,na,na,na,90
DE,2022,3,306,11/2/2022,2,10,7,ERPVE,LAMAM,na,15.77,na,na,na,65.8,na,na,948.4335185,1585.440112,na,na,na,na,15
DE,2022,3,307,11/2/2022,2,60,26,ERPVE,LAMAM,na,19.41,na,na,na,61,na,na,948.4335185,1585.440112,na,na,na,na,60
DE,2022,3,308,11/17/2022,3,0,0,ERPVE,LAMAM,POAAN,5.11,na,na,na,0,na,na,813.6461547,1450.652748,na,na,na,na,0
DE,2022,3,309,11/17/2022,3,150,68,LAMAM,ERPVE,POAAN,19.3,na,na,na,60.4,na,na,813.6461547,1450.652748,na,na,na,na,150
